# Pebble SDK 4.9.169 app API jump table, generated from aplite/lib/libpebble.a
# Format: name=swi,num,args,typecodes argnames
# swi=2 records the PebbleOS SVC privilege mechanism; num is the libpebble jump-table byte offset.
_=2
action_menu_set_result_window=2,2192,2,pp action_menu result_window
action_menu_unfreeze=2,2196,1,p action_menu
dictation_session_create=2,2200,3,ipp buffer_size callback callback_context
dictation_session_destroy=2,2204,1,p session
dictation_session_enable_confirmation=2,2208,2,pi session is_enabled
dictation_session_start=2,2212,1,p session
dictation_session_stop=2,2216,1,p session
smartstrap_attribute_begin_write=2,2220,3,ppp attribute buffer buffer_length
smartstrap_attribute_create=2,2224,3,iii service_id attribute_id buffer_length
smartstrap_attribute_destroy=2,2228,1,p attribute
smartstrap_attribute_end_write=2,2232,3,pii attribute write_length request_read
smartstrap_attribute_get_attribute_id=2,2236,1,p attribute
smartstrap_attribute_get_service_id=2,2240,1,p attribute
smartstrap_attribute_read=2,2244,1,p attribute
smartstrap_service_is_available=2,2248,1,i service_id
smartstrap_set_timeout=2,2252,1,i timeout_ms
smartstrap_subscribe=2,2256,1,i handlers
smartstrap_unsubscribe=2,2260,0,
connection_service_peek_pebble_app_connection=2,2264,0,
connection_service_peek_pebblekit_connection=2,2268,0,
connection_service_subscribe=2,2272,1,i conn_handlers
connection_service_unsubscribe=2,2276,0,
dictation_session_enable_error_dialogs=2,2280,2,pi session is_enabled
gbitmap_get_data_row_info=2,2284,2,pi bitmap y
content_indicator_configure_direction=2,2288,3,pip content_indicator direction config
content_indicator_create=2,2292,0,
content_indicator_destroy=2,2296,1,p content_indicator
content_indicator_get_content_available=2,2300,2,pi content_indicator direction
content_indicator_set_content_available=2,2304,3,pii content_indicator direction available
scroll_layer_get_content_indicator=2,2308,1,p scroll_layer
menu_layer_get_center_focused=2,2312,1,p menu_layer
menu_layer_set_center_focused=2,2316,2,pi menu_layer center_focused
grect_inset=2,2320,2,ii rect insets
gpoint_from_polar=2,2324,3,iii rect scale_mode angle
graphics_draw_arc=2,2328,5,piiii ctx rect scale_mode angle_start angle_end
graphics_fill_radial=2,2332,6,piiiii ctx rect scale_mode inset_thickness angle_start angle_end
grect_centered_from_polar=2,2336,4,iiii rect scale_mode angle size
graphics_text_attributes_create=2,2340,0,
graphics_text_attributes_destroy=2,2344,1,p text_attributes
graphics_text_attributes_enable_paging=2,2348,3,pii text_attributes content_origin_on_screen paging_on_screen
graphics_text_attributes_enable_screen_text_flow=2,2352,2,pi text_attributes inset
graphics_text_attributes_restore_default_paging=2,2356,1,p text_attributes
graphics_text_attributes_restore_default_text_flow=2,2360,1,p text_attributes
graphics_text_layout_get_content_size_with_attributes=2,2364,6,piiiip text font box overflow_mode alignment text_attributes
layer_convert_point_to_screen=2,2368,2,pi layer point
layer_convert_rect_to_screen=2,2372,2,pi layer rect
scroll_layer_get_paging=2,2376,1,p scroll_layer
scroll_layer_set_paging=2,2380,2,pi scroll_layer paging_enabled
text_layer_enable_screen_text_flow_and_paging=2,2384,2,pi text_layer inset
text_layer_restore_default_text_flow_and_paging=2,2388,1,p text_layer
menu_layer_is_index_selected=2,2392,2,pp menu_layer index
health_service_activities_iterate=2,2396,6,ixxipp activity_mask time_start time_end direction callback context
health_service_any_activity_accessible=2,2400,3,ixx activity_mask time_start time_end
health_service_events_subscribe=2,2404,2,pp handler context
health_service_events_unsubscribe=2,2408,0,
health_service_get_minute_history=2,2412,4,pipp minute_data max_records time_start time_end
health_service_metric_accessible=2,2416,3,ixx metric time_start time_end
health_service_peek_current_activities=2,2420,0,
health_service_sum=2,2424,3,ixx metric time_start time_end
health_service_sum_today=2,2428,1,i metric
time_start_of_today=2,2432,0,
health_service_metric_averaged_accessible=2,2436,4,ixxi metric time_start time_end scope
health_service_sum_averaged=2,2440,4,ixxi metric time_start time_end scope
health_service_get_measurement_system_for_display=2,2444,1,i metric
gdraw_command_frame_get_command_list=2,2448,1,p frame
